,H,H+,H2,H2+,H3+,ne,Te
0.1,2.15237E+13,10240950823,3.10936E+14,287698675.5,2.38666E+11,2.49195E+11,0.119548835
0.1225,2.58666E+13,14159023615,3.08727E+14,367218966.5,2.62116E+11,2.76642E+11,0.124222325
0.145,3.05269E+13,18715782461,3.06365E+14,460960829.5,2.82185E+11,3.01362E+11,0.129444316
0.1675,3.51869E+13,23664825672,3.04006E+14,570938652.4,2.99377E+11,3.23612E+11,0.135113174
0.19,3.96378E+13,28480115797,3.01758E+14,705321999,3.12861E+11,3.42046E+11,0.141995705
0.2125,4.61106E+13,35366536585,2.98501E+14,851978086.1,3.24043E+11,3.60262E+11,0.147930881
0.235,5.01557E+13,40657121547,2.96458E+14,1043267873,3.35838E+11,3.77539E+11,0.155107342
0.2575,5.2171E+13,44438845792,2.95431E+14,1236472720,3.47758E+11,3.93434E+11,0.162552853
0.28,5.85335E+13,52344619780,2.92232E+14,1472532673,3.56275E+11,4.10092E+11,0.169516716
0.3025,6.28796E+13,58502397698,2.90043E+14,1783784119,3.64734E+11,4.2502E+11,0.178047654
0.325,6.38352E+13,61390970841,2.89548E+14,2111392844,3.75222E+11,4.38725E+11,0.188165661
0.3475,6.88882E+13,68728520382,2.87006E+14,2524747624,3.82513E+11,4.53766E+11,0.197114199
0.37,7.55551E+13,77955993604,2.8366E+14,3040311604,3.88054E+11,4.6905E+11,0.20764365
0.3925,7.69914E+13,81955106972,2.82925E+14,3564172342,3.97535E+11,4.83054E+11,0.22013146
0.415,7.86302E+13,86356875613,2.82088E+14,4197835762,4.07055E+11,4.9761E+11,0.231549133
0.4375,8.48908E+13,96212377985,2.78945E+14,5035327081,4.11824E+11,5.13072E+11,0.244452371
0.46,9.08863E+13,1.06027E+11,2.75934E+14,6045678619,4.16593E+11,5.28666E+11,0.260008866
0.4825,9.57235E+13,1.1512E+11,2.73501E+14,7164750864,4.22509E+11,5.44794E+11,0.275622852
0.505,9.75887E+13,1.20828E+11,2.72551E+14,8475546917,4.31248E+11,5.60552E+11,0.293644216
0.5275,1.02557E+14,1.30373E+11,2.70054E+14,10062128416,4.35625E+11,5.7606E+11,0.313247654
0.55,1.32222E+14,1.71806E+11,2.55236E+14,13023417460,4.09917E+11,5.94746E+11,0.333411863
0.5725,1.07657E+14,1.45123E+11,2.6747E+14,13961392172,4.50896E+11,6.0998E+11,0.358645855
0.595,1.12453E+14,1.56446E+11,2.65056E+14,16579348793,4.56246E+11,6.29272E+11,0.384974621
0.6175,1.17274E+14,1.68261E+11,2.62629E+14,19665547744,4.61018E+11,6.48945E+11,0.41347596
0.64,1.18996E+14,1.76163E+11,2.61747E+14,22857336416,4.69709E+11,6.68728E+11,0.445495476
0.6625,1.25637E+14,1.91527E+11,2.58414E+14,27054232365,4.70698E+11,6.89279E+11,0.48437058
0.685,1.25448E+14,1.9849E+11,2.58482E+14,31711967351,4.82636E+11,7.12838E+11,0.5246714
0.7075,1.31525E+14,2.14955E+11,2.55428E+14,37440018120,4.84029E+11,7.36424E+11,0.573258035
0.73,1.30745E+14,2.21585E+11,2.55791E+14,43727169371,4.95671E+11,7.60983E+11,0.63265609
0.7525,1.37088E+14,2.4148E+11,2.52599E+14,51923099794,4.96722E+11,7.90125E+11,0.694752167
0.775,1.41771E+14,2.5911E+11,2.50237E+14,61148868322,4.98384E+11,8.18643E+11,0.770563346
0.7975,1.43795E+14,2.74957E+11,2.49195E+14,72363155778,5.05599E+11,8.52919E+11,0.856558029
0.82,1.4708E+14,2.93048E+11,2.47527E+14,84881876088,5.08275E+11,8.86204E+11,0.966203704
0.8425,1.48832E+14,3.10711E+11,2.46619E+14,1.00163E+11,5.13518E+11,9.24392E+11,1.100093779
0.865,1.48506E+14,3.26632E+11,2.46743E+14,1.18331E+11,5.2239E+11,9.67354E+11,1.251824064
0.8875,1.58076E+14,3.66221E+11,2.41932E+14,1.40395E+11,5.11519E+11,1.01814E+12,1.449695248
0.91,1.59904E+14,3.9295E+11,2.40975E+14,1.67907E+11,5.12929E+11,1.07379E+12,1.704696644
0.9325,1.63015E+14,4.26897E+11,2.39374E+14,2.01345E+11,5.10235E+11,1.13848E+12,2.042654124
0.955,1.64563E+14,4.59838E+11,2.38549E+14,2.39925E+11,5.07408E+11,1.20717E+12,2.580270383
0.9775,1.69175E+14,5.09343E+11,2.36182E+14,2.89746E+11,4.98111E+11,1.2972E+12,3.371288873
1,1.70631E+14,5.39106E+11,2.35409E+14,3.26683E+11,4.9362E+11,1.35941E+12,5.368026757
